0	© 2026 SAVEN Core. All rights reserved. “Inc.” is not added unless the legal company name is confirmed.	© 2026 SAVEN Core. All rights reserved. «Inc.» не добавляется, пока юридическое название компании не подтверждено.
1	A controlled interface between human context and systems that may use authorized information. It is a structured representation with permissions, minimization, and accountable use — not a claim of a finished commercial product.	Контролируемый интерфейс между человеческим контекстом и системами, которые могут использовать авторизованную информацию. Это структурированное представление с разрешениями, минимизацией и подотчётным использованием — не заявление о готовом коммерческом продукте.
2	A full CMS and database are deferred. Optional Vercel Blob may support durable Media when configured. Do not claim delivery or persistence without environment setup.	Полный CMS и база данных отложены. Опциональный Vercel Blob может поддерживать устойчивое Media при настройке. Не заявляйте доставку или сохранность без настройки окружения.
3	A Knowledge Object is a structured engineering object associated with a published knowledge destination. It carries classified fields such as type, maturity, and relationships — and must not fabricate owners, version history, Validated maturity, or evidence upgrades without authorization.	Knowledge Object — структурированный инженерный объект, связанный с опубликованным разделом знаний. Он несёт классифицированные поля вроде типа, зрелости и связей — и не должен выдумывать владельцев, историю версий, Validated maturity или повышения evidence без авторизации.
4	A lab focused on robotics and physical assistance engineering under human purpose and safety discipline. It is not a showroom of completed consumer products.	Лаборатория, сосредоточенная на робототехнике и инженерии физической помощи в рамках человеческой цели и дисциплины безопасности. Это не витрина готовых потребительских продуктов.
5	A visitor should understand within about twenty seconds that SAVEN Core exists to help people, that BioMath Core is the human intelligence foundation, that SAVEN connects intelligence with physical assistance, that AI and robotics are tools, that systems are in development, and that safety, privacy, and human control are foundational.	Посетитель примерно за двадцать секунд должен понять: SAVEN Core существует, чтобы помогать людям; BioMath Core — основа человеческого интеллекта; SAVEN соединяет понимание с физической помощью; ИИ и робототехника — инструменты; системы в разработке; безопасность, конфиденциальность и человеческий контроль фундаментальны.
6	AI Decision Support	Поддержка решений с ИИ
7	AI Decision Support assists interpretation and option evaluation without claiming autonomous decision authority. Human oversight remains foundational.	AI Decision Support помогает интерпретации и оценке вариантов, не заявляя автономного права на решения. Человеческий надзор остаётся фундаментальным.
8	An internal structured registry of knowledge entities used to keep relationships and navigation honest. Agents must not invent entities unless explicitly authorized.	Внутренний структурированный реестр сущностей знаний для честных связей и навигации. Агентам нельзя выдумывать сущности без явной авторизации.
9	Analytics and live cookie consent CMP remain pending owner decisions. Search Console may be used as owner operations without inventing Google Analytics claims.	Аналитика и живой cookie consent CMP остаются ожидающими решениями владельца. Search Console может использоваться как операции владельца без выдуманных заявлений о Google Analytics.
10	Applications	Применения
11	Architecture is the footer column that lists published Systems destinations. Domain routes remain under /systems/. Page bodies and primary naming stay Systems; the column helps visitors discover architecture depth.	Architecture — колонка футера со списком опубликованных разделов Systems. Маршруты остаются /systems/. Тела страниц и основное именование остаются Systems; колонка помогает находить архитектурную глубину.
12	Artificial Intelligence	Искусственный интеллект
13	Artificial Intelligence is a published technology discipline. Public copy says SAVEN Core uses, refines, advances, and applies AI — it does not claim to create AI.	Artificial Intelligence — опубликованная технологическая дисциплина. Публичные тексты говорят, что SAVEN Core использует, уточняет, развивает и применяет ИИ — и не заявляет, что создаёт ИИ.
14	Automation	Автоматизация
15	Automation and Robotics describe controlled motion and physical assistance concepts under human purpose, safety limits, and development status — not a product catalog or deployment claims.	Automation и Robotics описывают контролируемое движение и концепции физической помощи в рамках человеческой цели, пределов безопасности и статуса разработки — не каталог продуктов и не заявления о развёртывании.
16	Because inventing publications, performance results, customers, or traction is prohibited. Only approved, real materials may appear when supplied.	Потому что выдумывать публикации, результаты производительности, клиентов или traction запрещено. Появляться могут только одобренные реальные материалы, когда они предоставлены.
17	BioMath Life → BioMath Core → SAVEN → SAVEN Core — a continuous path, not unrelated projects.	BioMath Life → BioMath Core → SAVEN → SAVEN Core — непрерывный путь, а не несвязанные проекты.
18	BioMath Life → BioMath Core → SAVEN → SAVEN Core.	BioMath Life → BioMath Core → SAVEN → SAVEN Core.
19	Brochure-level conversation path — no fake traction.	Брошюрный путь для разговора — без фальшивого traction.
20	Clinical Interfaces	Клинические интерфейсы
21	Clinical Interfaces describe careful interaction surfaces for clinical and care contexts. They do not claim medical device clearance, clinical outcomes, or operational hospital deployment.	Clinical Interfaces описывают аккуратные поверхности взаимодействия для клинических и care-контекстов. Они не заявляют о clearance медицинских устройств, клинических исходах или операционном развёртывании в больницах.
22	Communication between devices and shared tasks — with people remaining in command.	Связь между устройствами и совместные задачи — при сохранении командования людьми.
23	Communication Layer	Слой коммуникации
24	Completed products, deployed systems, customers, partners, approvals, patents, performance results, commercial availability, medical outcomes, team size, revenue, investment, market traction, and technical specifications beyond what is explicitly supplied and approved.	Завершённые продукты, развёрнутые системы, клиентов, партнёров, одобрения, патенты, результаты производительности, коммерческую доступность, медицинские исходы, размер команды, выручку, инвестиции, рыночный traction и технические спецификации сверх явно предоставленного и одобренного.
25	Contact	Контакты
26	Current public content primarily uses Research, Architecture, and In Development. Operational must not be claimed unless true.	Текущий публичный контент в основном использует Research, Architecture и In Development. Operational нельзя заявлять, если это не соответствует действительности.
27	Current status, last updated date, short status explanation, and public or restricted classification.	Текущий статус, дата последнего обновления, краткое объяснение статуса и классификация public или restricted.
28	Direction and orientation — not guarantees, dates as promises, or invented results.	Направление и ориентация — не гарантии, не даты как обещания и не выдуманные результаты.
29	Do not send urgent medical, emergency, or personal health information through this channel.	Не отправляйте через этот канал срочную медицинскую, экстренную или личную информацию о здоровье.
30	Drone Systems	Дрон-системы
31	English (canonical), Spanish, German, French, Japanese, Chinese (Simplified), Arabic, Hebrew, Ukrainian, and Russian.	Английский (канонический), испанский, немецкий, французский, японский, китайский (упрощённый), арабский, иврит, украинский и русский.
32	English (United States) is the canonical source language. Localized variants reference the English source.	Английский (США) — канонический исходный язык. Локализованные варианты опираются на английский источник.
33	Ethics and Responsible Use	Этика и ответственное использование
34	Explicit non-claims to keep reading honest.	Явные «не-заявления», чтобы чтение оставалось честным.
35	Formal legal entity name details remain an owner pending decision. The public copyright line uses SAVEN Core without adding “Inc.” unless confirmed.	Формальные детали юридического имени остаются ожидающим решением владельца. Публичная строка copyright использует SAVEN Core без «Inc.», пока не подтверждено.
36	Foundation	Основание
37	From human understanding to physical assistance.	От понимания человека к физической помощи.
38	Future extensions may include medical technologies, industry, infrastructure, agriculture, security, defense, drone operations, and other physical environments. They remain extensions of the human-support foundation and must not replace it.	Будущие расширения могут включать медицинские технологии, промышленность, инфраструктуру, сельское хозяйство, безопасность, оборону, дрон-операции и другие физические среды. Они остаются расширениями основы поддержки человека и не должны её заменять.
39	Glossary-style answers for terms used on the published site and content model.	Ответы в стиле глоссария по терминам опубликованного сайта и модели контента.
40	Helping people. Robotics, drones, industrial systems, infrastructure, agriculture, security, and other applications are extensions of the underlying technology foundation. They must not replace or obscure the primary human purpose.	Помогать людям. Робототехника, дроны, промышленные системы, инфраструктура, сельское хозяйство, безопасность и другие применения — расширения технологической основы. Они не должны заменять или затенять главную человеческую цель.
41	Honest limits support trust. The site should state what is intended, what is current, and what is not claimed — including medical, legal, and product boundaries.	Честные пределы поддерживают доверие. Сайт должен ясно говорить, что намечено, что актуально и что не заявляется — включая медицинские, юридические и продуктовые границы.
42	How to read Research, Architecture, In Development, and related labels.	Как читать Research, Architecture, In Development и связанные метки.
43	Human Data	Человеческие данные
44	Human Data concerns careful collection and use of information about people and life context — biological, medical, behavioral, environmental, and related signals — under privacy, permissions, and minimization principles.	Human Data касается аккуратного сбора и использования информации о людях и жизненном контексте — биологических, медицинских, поведенческих, средовых и связанных сигналов — в рамках конфиденциальности, разрешений и минимизации.
45	Human Data Model	Модель человеческих данных
46	Human Oversight	Человеческий надзор
47	Human Oversight means people remain responsible for meaningful control and review. Assistance systems should not claim autonomous decision authority where human judgment is required.	Human Oversight означает, что люди остаются ответственными за значимый контроль и проверку. Системы помощи не должны заявлять автономное право на решения там, где требуется человеческое суждение.
48	Human-first application areas are in development. Extensions must not obscure the primary purpose.	Человеко-ориентированные области применения находятся в разработке. Расширения не должны затенять главную цель.
49	info@savencore.com. The Contact page form sends via SMTP when configured, otherwise prepares a mailto message to the same address.	info@savencore.com. Форма Contact отправляет через SMTP, если настроено, иначе готовит mailto на тот же адрес.
50	Intelligent systems built to support human life.	Интеллектуальные системы, созданные для поддержки человеческой жизни.
51	Internal Future Lab	Internal Future Lab
52	Internal Future Lab explores longer-horizon research and architecture directions. Content remains directional and descriptive — not a guarantee of future products or dates.	Internal Future Lab исследует более дальние направления исследований и архитектуры. Контент остаётся направленным и описательным — не гарантией будущих продуктов или дат.
53	Interoperability	Интероперабельность
54	Interoperability describes controlled exchange between systems under defined permissions and boundaries — engineering architecture language, not a claim of universal compatibility today.	Interoperability описывает контролируемый обмен между системами в рамках определённых разрешений и границ — язык инженерной архитектуры, а не заявление о всеобщей совместимости сегодня.
55	Investor Contact	Контакт для инвесторов
56	Investors pages describe company direction and a careful contact path for long-horizon dialogue. They must not invent revenue, investment rounds, customers, partners, patents, or market traction.	Страницы Investors описывают направление компании и осторожный контактный путь для долгосрочного диалога. Они не должны выдумывать выручку, раунды инвестиций, клиентов, партнёров, патенты или рыночный traction.
57	It is distinct from the Robotics Layer page. Status remains development-oriented — not an Operational product claim.	Он отличается от страницы Robotics Layer. Статус остаётся ориентированным на разработку — не заявление об Operational-продукте.
58	It must not look like a generic AI startup, a SaaS landing page, a robotics product catalog, a medical claims website, a science-fiction entertainment site, a collection of unrelated future concepts, or a standard corporate template.	Он не должен выглядеть как типичный AI-стартап, SaaS-лендинг, каталог робототехники, сайт медицинских утверждений, развлекательная sci-fi площадка, набор несвязанных будущих концепций или стандартный корпоративный шаблон.
59	Knowledge Engine	Knowledge Engine
60	Knowledge Engine is a Systems destination for organizing governed engineering knowledge across systems. A Knowledge Object is the structured record pattern used for published knowledge pages.	Knowledge Engine — раздел Systems для организации управляемых инженерных знаний между системами. Knowledge Object — структурированный шаблон записи для опубликованных страниц знаний.
61	Labs are places of research and engineering work. Systems describe architecture. Flagship destinations such as SAVEN Robotics Interface connect both without inventing deployment claims.	Labs — места исследований и инженерной работы. Systems описывают архитектуру. Флагманские разделы вроде SAVEN Robotics Interface связывают оба без выдуманных заявлений о развёртывании.
62	Layer names such as Safety Layer, Communication Layer, and Robotics Layer describe architectural planes of responsibility — not product SKUs or Operational modules for sale.	Названия Layer вроде Safety Layer, Communication Layer и Robotics Layer описывают архитектурные плоскости ответственности — не SKU продуктов и не Operational-модули на продажу.
63	Legal	Юридическое
64	Limitations	Ограничения
65	Major public destinations highlighted for orientation — including Labs, SAVEN Robotics Interface, Internal Future Lab, and Investors — without turning Home into a sitemap.	Крупные публичные разделы для ориентации — включая Labs, SAVEN Robotics Interface, Internal Future Lab и Investors — без превращения Home в карту сайта.
66	Master Spec technology themes also include autonomous systems, machine perception, human-machine interaction, simulation, safety architecture, and privacy architecture — presented carefully and without product claims.	Темы Master Spec также включают автономные системы, машинное восприятие, взаимодействие человека и машины, симуляцию, архитектуру безопасности и архитектуру конфиденциальности — представлены осторожно и без продуктовых утверждений.
67	Media	Медиа
68	Media provides brand and media materials that have been published for download or viewing. It is not a press-claim surface inventing coverage metrics.	Media предоставляет брендовые и медиаматериалы, опубликованные для скачивания или просмотра. Это не поверхность с выдуманными метриками освещения в прессе.
69	Medical Disclaimer	Медицинский отказ от ответственности
70	Mission	Миссия
71	No. AI and robotics are tools, not the purpose. Human support is primary.	Нет. ИИ и робототехника — инструменты, а не цель. Главное — поддержка людей.
72	No. All principal systems are currently in development. The website must never present development-stage concepts as completed or commercially available products.	Нет. Все основные системы сейчас в разработке. Сайт никогда не должен представлять концепции стадии разработки как завершённые или коммерчески доступные продукты.
73	No. Application pages must not invent medical outcomes, approvals, or commercial availability. Medical Disclaimer and related legal drafts explain limits; they are structural drafts until counsel approval.	Нет. Страницы применений не должны выдумывать медицинские исходы, одобрения или коммерческую доступность. Medical Disclaimer и связанные юридические черновики объясняют пределы; они структурные до одобрения юристами.
74	No. Legal destinations are structural drafts until counsel approval. They must not be presented as effective law.	Нет. Юридические разделы — структурные черновики до одобрения юристами. Их нельзя представлять как действующее право.
75	No. Principal systems and application concepts are in development. The site must never present development-stage concepts as completed or commercially available products.	Нет. Основные системы и концепции применений находятся в разработке. Сайт никогда не должен представлять концепции стадии разработки как завершённые или коммерчески доступные продукты.
